keyword,title,link,image,lprice,hprice,brand,maker,productId,category1,category2,category3,category4,mallName
노트북,삼성 갤럭시북 인강용 사무용 업무용 가성비 윈도우11 저가 싼 태블릿 노트북 추천 기본팩,https://smartstore.naver.com/main/products/10407884292,https://shopping-phinf.pstatic.net/main_8795238/87952389253.9.jpg,399000,,갤럭시북,삼성전자,87952389253,디지털/가전,노트북,,,삼성공식파트너 코인비엠에스
노트북,"삼성전자 갤럭시북4 NT750XGR-A51A 16GB, 256GB",https://search.shopping.naver.com/catalog/52631236642,https://shopping-phinf.pstatic.net/main_5263123/52631236642.20250124094900.jpg,682990,,갤럭시북4,삼성전자,52631236642,디지털/가전,노트북,,,네이버
노트북,"삼성전자 갤럭시북5 프로 NT960XHA-K52A 32GB, 1TB",https://search.shopping.naver.com/catalog/53664048296,https://shopping-phinf.pstatic.net/main_5366404/53664048296.20250320103524.jpg,1975560,,갤럭시북5 프로,삼성전자,53664048296,디지털/가전,노트북,,,네이버
노트북,LG전자 울트라PC 라이젠5 사무용 인강용 저렴한 8GB NVMe256GB LG노트북,https://smartstore.naver.com/main/products/6174236911,https://shopping-phinf.pstatic.net/main_8371873/83718736488.14.jpg,599000,,LG전자,LG전자,83718736488,디지털/가전,노트북,,,제이 씨앤에스
노트북,삼성 노트북 갤럭시북 i5 16GB 256GB OS미포함 인강용 사무용 NT550XEZ,https://smartstore.naver.com/main/products/5471776094,https://shopping-phinf.pstatic.net/main_8301627/83016270660.15.jpg,649000,,삼성,삼성전자,83016270660,디지털/가전,노트북,,,스피드썬
노트북,2025 LG그램 15 인텔 i5 16GB 256GB 가벼운 대학생 포토샵 영상편집 노트북,https://smartstore.naver.com/main/products/8746609067,https://shopping-phinf.pstatic.net/main_8629110/86291109390.68.jpg,1349000,,LG전자,LG전자,86291109390,디지털/가전,노트북,,,LG전자인증점 베스트CNF
노트북,LG그램 노트북 14그램 Ultra5 16GB 256GB 인텔Arc GPU 인강용,https://smartstore.naver.com/main/products/9091504708,https://shopping-phinf.pstatic.net/main_8663600/86636005031.4.jpg,1199000,,LG그램,LG전자,86636005031,디지털/가전,노트북,,,온라인총판대리점
노트북,삼성 갤럭시북4 프로 인텔 울트라5 14 가벼운 사무용 대학생 영상편집 포토샵 노트북,https://smartstore.naver.com/main/products/5552924069,https://shopping-phinf.pstatic.net/main_8309741/83097419824.29.jpg,1299000,,갤럭시북4 프로,삼성전자,83097419824,디지털/가전,노트북,,,삼성공식파트너 엔씨디지텍
노트북,총16GB 리뷰 이벤트 레노버 아이디어패드 Slim3-15IAU 3D 노트북,https://smartstore.naver.com/main/products/10181826300,https://shopping-phinf.pstatic.net/main_8772632/87726329711.jpg,499000,,아이디어패드,레노버,87726329711,디지털/가전,노트북,,,투케이아이
노트북,베이직북14 3세대 사무용 노트북 가벼운 인강용 업무용 대학생 초경량 8GB/256GB,https://smartstore.naver.com/main/products/6873474215,https://shopping-phinf.pstatic.net/main_8441797/84417974537.11.jpg,398000,,베이직스,베이직스,84417974537,디지털/가전,노트북,,,베이직스 스토어
노트북,[SSD 더블업] 삼성 갤럭시북5 프로 울트라5 16GB 256GB 사무용 업무용 학습용 대학생 포토샵 영상편집 고성능 애로우레이크 노트북 A51A,https://smartstore.naver.com/main/products/4752156733,https://shopping-phinf.pstatic.net/main_8229667/82296678446.5.jpg,1499000,,갤럭시 북5 프로H,삼성전자,82296678446,디지털/가전,노트북,,,삼성온라인스토어 유니씨앤씨
노트북,삼성 갤럭시북 가성비 노트북 업무용 인강용 교육용 사무용 대학생 i5 16GB 256GB,https://smartstore.naver.com/main/products/5803316542,https://shopping-phinf.pstatic.net/main_8334781/83347815956.9.jpg,599000,,삼성,삼성전자,83347815956,디지털/가전,노트북,,,삼성mall 한사랑씨앤씨
노트북,"LG전자 LG그램 15ZD90T-GX56K 16GB, 256GB",https://search.shopping.naver.com/catalog/54277867358,https://shopping-phinf.pstatic.net/main_5427786/54277867358.20250418165358.jpg,1483800,,LG그램,LG전자,54277867358,디지털/가전,노트북,,,네이버
노트북,"삼성전자 갤럭시북5 프로360 NT960QHA-K71AR 32GB, 1TB",https://search.shopping.naver.com/catalog/53598611631,https://shopping-phinf.pstatic.net/main_5359861/53598611631.20250317151529.jpg,2548990,,갤럭시북5 프로360,삼성전자,53598611631,디지털/가전,노트북,,,네이버
노트북,삼성 가성비 노트북 사무용 업무용 인강용 교육용 i3 램8GB SSD256GB,https://smartstore.naver.com/main/products/8939310442,https://shopping-phinf.pstatic.net/main_8648381/86483810765.3.jpg,499000,,갤럭시북4,삼성전자,86483810765,디지털/가전,노트북,,,삼성mall 한사랑씨앤씨
노트북,"삼성전자 갤럭시북5 프로 NT940XHA-K51A 16GB, 256GB",https://search.shopping.naver.com/catalog/53599810243,https://shopping-phinf.pstatic.net/main_5359981/53599810243.20250411164048.jpg,1698090,,갤럭시북5 프로,삼성전자,53599810243,디지털/가전,노트북,,,네이버
노트북,"LG전자 LG그램 14ZD90T-GX56K 16GB, 256GB",https://search.shopping.naver.com/catalog/54346278578,https://shopping-phinf.pstatic.net/main_5434627/54346278578.20250422170430.jpg,1364920,,LG그램,LG전자,54346278578,디지털/가전,노트북,,,네이버
노트북,"삼성전자 갤럭시북5 프로 NT960XHA-K71AR 32GB, 1TB",https://search.shopping.naver.com/catalog/53018472231,https://shopping-phinf.pstatic.net/main_5301847/53018472231.20250214164522.jpg,2399000,,갤럭시북5 프로,삼성전자,53018472231,디지털/가전,노트북,,,네이버
노트북,HP 빅터스 15 게이밍 노트북 RTX4060 가성비 사무용 대학생 영상편집 오버워치 피파온라인4 i5,https://smartstore.naver.com/main/products/8934349620,https://shopping-phinf.pstatic.net/main_8647884/86478849943.1.jpg,1199000,,HP,HP,86478849943,디지털/가전,노트북,,,아이티블루
노트북,"삼성전자 갤럭시북5 프로 NT940XHA-K71AR 32GB, 512GB",https://search.shopping.naver.com/catalog/53646596671,https://shopping-phinf.pstatic.net/main_5364659/53646596671.20250411164129.jpg,2069000,,갤럭시북5 프로,삼성전자,53646596671,디지털/가전,노트북,,,네이버
노트북,"LG전자 LG그램 14ZD90RU-GX56K 16GB, 256GB",https://search.shopping.naver.com/catalog/53625386665,https://shopping-phinf.pstatic.net/main_5362538/53625386665.20250318114606.jpg,1086840,,LG그램,LG전자,53625386665,디지털/가전,노트북,,,네이버
